bband,area_code,NetC_meas,NetC_sd,Dialup,LGA_Name,bband_meas,PvtBband,Tech_sd,state,OtherConn,bband_sd,NetC_rank,Tech_rank,TotalConn,bband_rank
377,57770,0.46,-0.72,18,Shark Bay (S),0.622,217,-0.59,WA,65,0.02,451,439,1000,289
12529,57840,0.696,1.09,465,South Perth (C),0.759,12346,1.4,WA,780,1.21,90,45,19797,42
54134,57910,0.67,0.89,2338,Stirling (C),0.695,53951,1.01,WA,3536,0.65,119,79,89572,133
5732,57980,0.695,1.09,204,Subiaco (C),0.754,5624,1.56,WA,426,1.16,92,36,9148,54
26930,58050,0.711,1.21,1070,Swan (C),0.732,26763,0.74,WA,1519,0.97,64,108,41516,78
92,58190,0.497,-0.43,6,Tammin (S),0.604,90,-0.51,WA,0,-0.14,394,405,197,328
146,58260,0.474,-0.61,6,Three Springs (S),0.577,143,-0.64,WA,14,-0.37,436,456,350,390
1109,58330,0.553,0,91,Toodyay (S),0.668,1096,0.01,WA,58,0.42,277,219,2273,180
75,58400,0.368,-1.42,5,Trayning (S),0.529,74,-1.04,WA,5,-0.79,510,521,231,488
28,58470,0.263,-2.23,3,Upper Gascoyne (S),0.315,23,-1.7,WA,4,-2.63,543,546,133,530
9247,58510,0.655,0.78,412,Victoria Park (T),0.696,9113,1.14,WA,670,0.66,142,67,15775,131
235,58540,0.528,-0.2,17,Victoria Plains (S),0.664,229,-0.41,WA,16,0.38,336,365,508,188
9430,58570,0.68,0.97,318,Vincent (T),0.728,8966,1.41,WA,735,0.93,109,44,15415,90
446,58610,0.513,-0.31,27,Wagin (S),0.606,439,-0.31,WA,18,-0.12,359,322,957,326
118,58680,0.5,-0.41,9,Wandering (S),0.707,118,-0.4,WA,4,0.75,388,362,262,114
38047,58760,0.739,1.42,1470,Wanneroo (C),0.759,37846,0.96,WA,2134,1.2,28,87,56362,45
834,58820,0.501,-0.4,47,Waroona (S),0.62,831,-0.37,WA,60,0,385,348,1878,292
229,58890,0.534,-0.15,17,West Arthur (S),0.641,227,-0.39,WA,18,0.19,321,358,494,240
60,59030,0.395,-1.21,0,Westonia (S),0.643,63,-0.74,WA,4,0.2,495,476,162,237
187,59100,0.505,-0.37,18,Wickepin (S),0.644,186,-0.38,WA,10,0.21,377,355,426,235
239,59170,0.59,0.28,13,Williams (S),0.638,233,-0.31,WA,23,0.16,219,323,466,246
62,59250,0.358,-1.5,0,Wiluna (S),0.398,45,-0.94,WA,24,-1.91,517,509,240,526
385,59310,0.558,0.03,24,Wongan-Ballidu (S),0.669,376,-0.21,WA,24,0.43,268,292,776,175
102,59320,0.598,0.34,12,Woodanilling (S),0.662,104,-0.21,WA,8,0.37,210,290,204,193
136,59330,0.456,-0.75,6,Wyalkatchem (S),0.589,129,-0.74,WA,9,-0.26,458,475,331,365
1777,59340,0.504,-0.38,95,Wyndham-East Kimberley (S),0.562,1273,-0.38,WA,246,-0.5,378,352,4202,428
29,59350,0.393,-1.23,3,Yalgoo (S),0.464,26,-1.04,WA,3,-1.34,497,522,89,513
315,59360,0.434,-0.91,17,Yilgarn (S),0.63,301,-0.66,WA,25,0.09,472,459,822,265
840,59370,0.536,-0.13,70,York (S),0.625,831,-0.15,WA,57,0.05,319,266,1803,275
1391,60210,0.376,-1.36,140,Break O'Day (M),0.53,1368,-0.78,Tas,108,-0.78,507,486,4361,486
3251,60410,0.634,0.62,194,Brighton (M),0.606,3236,0.12,Tas,338,-0.12,172,199,5964,325
4599,60610,0.604,0.39,255,Burnie (C),0.598,4558,-0.05,Tas,366,-0.18,206,241,8645,344
5090,60810,0.597,0.33,309,Central Coast (M),0.609,5049,-0.06,Tas,254,-0.09,212,244,9470,312
444,61010,0.199,-2.72,42,Central Highlands (M),0.48,435,-1.38,Tas,43,-1.21,556,537,2663,510
1795,61210,0.54,-0.1,121,Circular Head (M),0.6,1785,-0.36,Tas,150,-0.17,309,341,3824,341
13183,61410,0.66,0.81,766,Clarence (C),0.659,13080,0.56,Tas,817,0.34,133,131,22387,202
2000,61510,0.55,-0.03,159,Derwent Valley (M),0.542,1990,-0.38,Tas,174,-0.67,289,354,4243,470
5733,61610,0.587,0.25,345,Devonport (C),0.584,5698,-0.02,Tas,420,-0.31,226,229,11075,379
1539,61810,0.472,-0.63,103,Dorset (M),0.566,1526,-0.54,Tas,131,-0.47,437,424,3758,416
