bband,area_code,NetC_meas,NetC_sd,Dialup,LGA_Name,bband_meas,PvtBband,Tech_sd,state,OtherConn,bband_sd,NetC_rank,Tech_rank,TotalConn,bband_rank
706,44830,0.493,-0.46,54,Mount Remarkable (DC),0.591,683,-0.52,SA,28,-0.24,407,413,1598,355
4176,45040,0.55,-0.02,300,Murray Bridge (RC),0.552,4142,-0.3,SA,404,-0.59,286,319,8866,453
1943,45090,0.58,0.2,124,Naracoorte and Lucindale (DC),0.616,1925,-0.18,SA,139,-0.03,233,280,3803,299
1094,45120,0.545,-0.07,92,Northern Areas (DC),0.582,1070,-0.45,SA,69,-0.33,297,380,2303,385
10221,45290,0.658,0.8,477,Norwood Payneham St Peters (C),0.675,10123,1,SA,643,0.47,136,81,17228,169
42685,45340,0.699,1.11,2245,Onkaparinga (C),0.702,42497,0.63,SA,2533,0.71,80,124,67915,119
213,45400,0.464,-0.69,16,Orroroo/Carrieton (DC),0.57,203,-0.5,SA,9,-0.43,448,404,513,408
348,45540,0.387,-1.28,28,Peterborough (DC),0.434,339,-1.13,SA,43,-1.6,498,526,1083,519
17808,45680,0.63,0.59,1014,Playford (C),0.612,17754,0.11,SA,1597,-0.07,178,200,32395,308
27241,45890,0.61,0.43,1476,Port Adelaide Enfield (C),0.606,27051,0.37,SA,2000,-0.12,195,163,50385,322
2850,46090,0.49,-0.49,124,Port Augusta (C),0.544,2737,-0.52,SA,267,-0.65,413,415,6618,466
3308,46300,0.57,0.12,173,Port Lincoln (C),0.594,3279,-0.16,SA,267,-0.22,245,270,6580,351
3743,46450,0.522,-0.24,225,Port Pirie City and Dists (M),0.527,3700,-0.49,SA,304,-0.8,344,398,8190,490
5539,46510,0.696,1.09,240,Prospect (C),0.703,5502,0.97,SA,328,0.72,89,83,8777,116
1935,46670,0.532,-0.16,209,Renmark Paringa (DC),0.534,1914,-0.51,SA,156,-0.74,327,406,4322,482
352,46860,0.297,-1.97,27,Robe (DC),0.625,337,-0.83,SA,40,0.05,536,492,1411,276
1137,46970,0.766,1.63,36,Roxby Downs (M),0.831,1099,0.78,SA,82,1.83,13,99,1638,4
31075,47140,0.67,0.89,1609,Salisbury (C),0.654,30958,0.45,SA,2271,0.29,118,154,52152,217
515,47290,0.528,-0.19,27,Southern Mallee (DC),0.606,504,-0.53,SA,39,-0.11,334,420,1100,320
496,47490,0.458,-0.74,33,Streaky Bay (DC),0.612,463,-0.55,SA,47,-0.06,454,427,1259,305
1563,47630,0.572,0.14,113,Tatiara (DC),0.624,1541,-0.3,SA,112,0.04,241,321,3125,281
26581,47700,0.741,1.44,1176,Tea Tree Gully (C),0.737,26489,0.95,SA,1145,1.01,27,88,38989,74
1228,47800,0.474,-0.61,78,The Coorong (DC),0.572,1212,-0.6,SA,96,-0.41,435,442,2955,403
583,47910,0.44,-0.87,53,Tumby Bay (DC),0.55,576,-0.72,SA,38,-0.61,469,471,1531,460
10744,47980,0.704,1.15,446,Unley (C),0.727,10644,1.32,SA,661,0.93,74,53,16833,91
3542,48050,0.475,-0.6,270,Victor Harbor (C),0.609,3495,-0.33,SA,208,-0.1,434,330,8455,313
1536,48130,0.546,-0.06,112,Wakefield (DC),0.594,1523,-0.28,SA,105,-0.22,294,315,3210,350
1993,48260,0.675,0.93,84,Walkerville (M),0.717,1963,1,SA,100,0.84,113,80,3226,102
2668,48340,0.523,-0.23,196,Wattle Range (DC),0.574,2642,-0.48,SA,183,-0.39,343,395,5827,396
14783,48410,0.638,0.65,711,West Torrens (C),0.637,14661,0.66,SA,1071,0.15,169,121,25970,248
5304,48540,0.557,0.03,235,Whyalla (C),0.584,5220,-0.15,SA,431,-0.31,269,267,10710,377
276,48640,0.508,-0.35,30,Wudinna (DC),0.636,382,-0.45,SA,22,0.14,367,378,646,253
1169,48750,0.373,-1.39,102,Yankalilla (DC),0.614,1146,-0.47,SA,71,-0.05,509,387,3602,303
2624,48830,0.32,-1.79,228,Yorke Peninsula (DC),0.547,2526,-0.86,SA,188,-0.62,532,499,9514,464
8154,50080,0.588,0.26,507,Albany (C),0.64,8021,0,WA,554,0.18,223,225,15679,242
15466,50210,0.686,1.02,682,Armadale (C),0.7,15384,0.56,WA,1046,0.7,100,133,25063,122
1747,50250,0.574,0.15,70,Ashburton (S),0.784,1518,0.21,WA,133,1.42,239,185,3399,20
3007,50280,0.504,-0.38,180,Augusta-Margaret River (S),0.692,2913,-0.16,WA,268,0.62,379,268,6856,137
3923,50350,0.672,0.91,177,Bassendean (T),0.683,3901,0.82,WA,197,0.55,116,97,6394,152
16906,50420,0.673,0.91,729,Bayswater (C),0.689,16784,0.98,WA,1098,0.6,115,82,27852,141
8919,50490,0.627,0.56,472,Belmont (C),0.644,8820,0.62,WA,711,0.21,182,127,16113,234
379,50560,0.461,-0.71,25,Beverley (S),0.563,370,-0.66,WA,30,-0.49,449,460,942,421
403,50630,0.548,-0.04,18,Boddington (S),0.682,394,-0.04,WA,36,0.53,293,233,834,156
406,50770,0.552,-0.01,28,Boyup Brook (S),0.648,399,-0.33,WA,15,0.24,281,331,813,226
1149,50840,0.583,0.23,91,Bridgetown-Greenbushes (S),0.657,1133,-0.06,WA,60,0.32,230,245,2228,207
194,50910,0.444,-0.84,12,Brookton (S),0.541,183,-0.75,WA,17,-0.68,466,478,502,471
3827,50980,0.585,0.24,150,Broome (S),0.619,2838,-0.05,WA,572,-0.01,227,238,7781,295
242,51080,0.544,-0.07,28,Broomehill-Tambellup (S),0.562,271,-0.48,WA,15,-0.5,300,393,524,426
236,51120,0.519,-0.27,14,Bruce Rock (S),0.599,233,-0.47,WA,13,-0.18,349,390,507,342
7725,51190,0.605,0.39,471,Bunbury (C),0.616,7588,0.07,WA,754,-0.04,205,211,14798,300
7608,51260,0.538,-0.12,384,Busselton (S),0.682,7505,0.02,WA,572,0.54,314,218,15906,153
7209,51310,0.753,1.53,244,Cambridge (T),0.797,7148,1.68,WA,282,1.53,16,31,10268,14
22666,51330,0.734,1.38,914,Canning (C),0.748,22427,1.14,WA,1043,1.11,39,66,33563,58
3567,51400,0.726,1.32,179,Capel (S),0.759,3532,0.62,WA,214,1.2,48,125,5454,46
143,51470,0.563,0.07,11,Carnamah (S),0.632,139,-0.32,WA,8,0.1,261,328,288,261
1560,51540,0.491,-0.48,92,Carnarvon (S),0.558,1088,-0.59,WA,193,-0.53,410,436,3759,437
300,51610,0.638,0.65,31,Chapman Valley (S),0.66,276,-0.04,WA,24,0.35,166,236,556,198
1160,51680,0.659,0.81,43,Chittering (S),0.763,1148,0.47,WA,48,1.24,134,148,1897,41
2854,51750,0.696,1.09,98,Claremont (T),0.781,2813,1.3,WA,130,1.4,87,55,4427,22
23513,51820,0.721,1.29,893,Cockburn (C),0.734,23361,0.86,WA,1313,0.98,53,94,35651,77
2028,51890,0.575,0.16,102,Collie (S),0.606,1985,-0.21,WA,145,-0.12,236,291,3957,324
834,51960,0.544,-0.07,38,Coolgardie (S),0.65,811,-0.12,WA,80,0.26,299,253,1749,222
258,52030,0.365,-1.44,26,Coorow (S),0.587,247,-0.85,WA,38,-0.28,512,495,882,370
274,52100,0.491,-0.48,19,Corrigin (S),0.607,267,-0.52,WA,23,-0.11,411,414,644,319
2257,52170,0.704,1.15,82,Cottesloe (T),0.792,2200,1.41,WA,138,1.49,73,43,3518,16
239,52240,0.517,-0.28,20,Cranbrook (S),0.574,237,-0.53,WA,15,-0.4,355,419,530,397
224,52310,0.569,0.12,15,Cuballing (S),0.666,223,-0.25,WA,8,0.4,246,302,434,187
