copd_rrmse,mntl_bh_p_rate,circ_rrmse,mntl_bh_p_rrmse,respirtry_rrmse,asthma_rrmse,area_code,hypertens_rrmse,hg_choles_rate,asthma_rate,diabetes_rate,musculo_rrmse,respirtry_rate,arthritis_rate,musculo_rate,hypertens_rate,circ_rate,arthritis_rrmse,diabetes_rrmse,copd_rate,hg_choles_rrmse
3,12.69001702,3,3,3,3,11000,3,31.34071663,11.51625737,4.569293153,3,32.19306922,15.45032146,29.60331753,9.856692443,18.04941585,3,3,2.755545546,3
2,13.72078878,3,3,3,1,11050,1,35.18436155,11.75300083,4.814670764,3,32.94737763,16.83811812,31.03729535,10.6134237,18.00443685,3,2,2.860940604,3
3,11.71194538,3,3,3,3,11100,3,31.35206024,7.26795025,7.614736665,3,27.75568564,14.72041275,27.42423336,10.49606299,18.47294892,3,3,2.544823928,3
null,null,null,null,null,null,11150,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,11200,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,15.76000197,3,3,3,3,11250,3,31.32997114,11.66416429,5.666324108,3,28.231683,19.4182107,31.60400778,10.21549904,18.85097269,3,3,3.251187548,3
3,16.22550455,3,3,3,3,11730,3,31.53924307,12.32698766,4.976091496,3,28.98326741,18.8168097,30.96349157,10.27883467,18.80087631,3,3,3.145112173,3
1,13.31800541,3,3,3,3,11750,3,34.94114472,10.95329444,4.902264344,3,31.59463939,16.53692911,29.56355746,10.64888654,20.64125135,3,1,2.919849146,3
3,11.87512386,3,3,3,3,11300,3,31.50708529,6.651880709,7.908863276,3,22.80640391,12.98310173,24.00558727,10.12331051,17.35699846,3,3,2.057739253,3
3,15.32215768,3,3,3,3,11350,3,32.00810062,11.97885065,4.640314179,3,30.95661469,15.14697044,29.38700643,10.06999226,17.85996638,3,3,2.725126307,3
1,12.86029223,3,3,3,3,11400,3,33.69307838,11.90129035,4.447089209,3,31.63215882,15.85254788,29.3538029,10.94372251,18.35270557,3,1,2.733728671,3
3,11.10834046,3,3,3,3,11450,3,31.77347096,10.14074376,4.844829971,3,28.14980989,14.3842993,28.30371869,10.72012068,17.95199032,3,3,2.552229292,3
3,13.34237752,3,3,3,3,11500,3,31.4056145,9.610348953,6.559974806,3,26.87148757,15.89432708,28.77373643,10.37304585,17.70422344,3,3,2.822833532,3
3,11.55733098,3,3,3,3,11520,3,31.5990723,7.679629786,6.737647932,3,24.79468427,13.84809073,27.23996667,11.6336511,17.07281491,3,3,2.225808059,3
3,12.21120277,3,3,3,3,11550,3,31.17647116,6.734545291,9.737733026,3,24.9298979,14.89173132,26.22516485,10.83090597,18.46947028,3,3,2.282411261,3
1,12.08916908,3,3,3,3,11600,1,30.95725702,10.15586329,4.784226747,3,30.93823381,14.87505613,29.04770187,10.76159992,17.88993196,3,1,2.594166886,3
